metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run18
total_agents;68
evacuated_agents;57
evacuation_rate;0,8382
rset_100s;149,080
rset_95s;44,240
rset_90s;41,520
rset_50s;25,620
mean_speed_ms;0,4107
std_speed_ms;0,5509
max_speed_ms;1,9151
mean_exit_density_pm2;0,1635
peak_exit_density_pm2;0,9903
mean_global_density_pm2;0,0287
specific_flow_mean_pms;0,0507
specific_flow_peak_pms;0,6096
throughput_ps;0,4561
throughput_Exit_Main_ps;0,3823
collisions_agent_agent;3
collisions_agent_wall;78
mean_headway_m;2,9062
min_headway_m;0,3659
std_headway_m;2,7002
