metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run5
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;46,120
rset_95s;34,480
rset_90s;32,800
rset_50s;19,620
mean_speed_ms;1,3748
std_speed_ms;0,4310
max_speed_ms;3,3117
mean_exit_density_pm2;0,1473
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0439
specific_flow_mean_pms;0,2320
specific_flow_peak_pms;1,0086
throughput_ps;1,4744
throughput_Exit_Main_ps;1,4744
collisions_agent_agent;224
collisions_agent_wall;285
mean_headway_m;1,0002
min_headway_m;0,3440
std_headway_m;0,7477
