metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_07
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;63,040
rset_95s;46,420
rset_90s;38,580
rset_50s;17,400
mean_speed_ms;0,3703
std_speed_ms;0,3097
max_speed_ms;2,1530
mean_exit_density_pm2;3,4725
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,4345
specific_flow_mean_pms;1,6205
specific_flow_peak_pms;7,6783
throughput_ps;1,4753
throughput_ExitZone_ps;1,4753
collisions_agent_agent;1607
collisions_agent_wall;5487
mean_headway_m;0,4535
min_headway_m;0,3219
std_headway_m;0,1052
