metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_09
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;58,400
rset_95s;43,060
rset_90s;36,140
rset_50s;15,520
mean_speed_ms;0,3779
std_speed_ms;0,3163
max_speed_ms;2,4048
mean_exit_density_pm2;3,5039
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,4447
specific_flow_mean_pms;1,6937
specific_flow_peak_pms;7,1340
throughput_ps;1,5925
throughput_ExitZone_ps;1,5925
collisions_agent_agent;659
collisions_agent_wall;2284
mean_headway_m;0,4653
min_headway_m;0,3188
std_headway_m;0,0979
