metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run10
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;42,140
rset_95s;39,540
rset_90s;36,740
rset_50s;19,680
mean_speed_ms;0,2841
std_speed_ms;0,2824
max_speed_ms;1,9161
mean_exit_density_pm2;4,3364
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5801
specific_flow_mean_pms;1,8382
specific_flow_peak_pms;5,4880
throughput_ps;2,2069
throughput_ExitZone_ps;2,2069
collisions_agent_agent;16709
collisions_agent_wall;1797
mean_headway_m;0,3948
min_headway_m;0,3227
std_headway_m;0,0644
