time;grid_x;grid_z;density
2,020;-18;1;2,0000
2,020;-18;5;1,0000
2,020;-18;4;1,0000
2,020;-17;1;1,0000
2,020;-11;5;1,0000
2,020;-12;1;1,0000
2,020;-13;0;1,0000
2,020;-14;2;1,0000
2,020;-14;7;1,0000
2,020;-12;0;1,0000
2,020;-5;7;1,0000
2,020;-4;6;1,0000
2,020;-5;5;1,0000
2,020;-5;1;1,0000
2,020;-6;1;1,0000
2,020;-5;0;1,0000
2,020;3;2;1,0000
2,020;3;4;1,0000
2,020;1;-1;1,0000
2,020;-1;5;1,0000
2,020;2;5;1,0000
2,020;1;6;1,0000
2,020;8;3;2,0000
2,020;8;1;2,0000
2,020;9;6;1,0000
2,020;6;3;1,0000
2,020;14;6;1,0000
2,020;15;6;1,0000
2,020;13;5;1,0000
2,020;15;1;1,0000
2,020;15;4;1,0000
2,020;19;1;1,0000
2,020;19;0;1,0000
2,020;-17;-1;1,0000
2,020;-19;-4;1,0000
2,020;-17;-4;1,0000
2,020;-16;-4;1,0000
2,020;-16;-3;1,0000
2,020;-11;-1;2,0000
2,020;-11;-9;1,0000
2,020;-10;-8;1,0000
2,020;-12;-3;1,0000
2,020;-5;-7;1,0000
2,020;-2;-6;1,0000
2,020;-4;-5;2,0000
2,020;-4;-8;1,0000
2,020;2;-8;1,0000
2,020;0;-7;1,0000
2,020;0;-6;1,0000
2,020;0;-5;1,0000
2,020;7;-2;1,0000
2,020;5;-8;1,0000
2,020;6;-10;1,0000
2,020;7;-1;1,0000
2,020;7;-3;1,0000
2,020;8;-7;1,0000
2,020;16;-8;1,0000
2,020;13;-7;1,0000
2,020;13;-3;1,0000
2,020;15;-6;1,0000
2,020;16;-7;1,0000
2,020;15;-8;1,0000
2,020;14;-2;1,0000
4,040;-17;-1;2,0000
4,040;-19;3;1,0000
4,040;-18;-1;2,0000
4,040;-18;1;1,0000
4,040;-17;0;1,0000
4,040;-12;1;1,0000
4,040;-11;0;2,0000
4,040;-12;-1;1,0000
4,040;-12;0;1,0000
4,040;-13;4;1,0000
4,040;-6;4;1,0000
4,040;-5;4;1,0000
4,040;-5;1;1,0000
4,040;-4;-1;1,0000
4,040;-5;0;1,0000
4,040;-1;0;1,0000
4,040;3;2;1,0000
4,040;1;1;2,0000
4,040;5;0;1,0000
4,040;1;2;1,0000
4,040;2;3;1,0000
4,040;8;0;2,0000
4,040;9;0;1,0000
4,040;8;3;1,0000
4,040;10;0;1,0000
4,040;8;1;1,0000
4,040;15;2;1,0000
4,040;15;4;2,0000
