metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run4
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;45,060
rset_95s;34,120
rset_90s;33,680
rset_50s;20,700
mean_speed_ms;1,2542
std_speed_ms;0,3927
max_speed_ms;2,4369
mean_exit_density_pm2;0,1818
peak_exit_density_pm2;0,8488
mean_global_density_pm2;0,0489
specific_flow_mean_pms;0,2287
specific_flow_peak_pms;0,9582
throughput_ps;1,5091
throughput_Exit_Main_ps;1,5091
collisions_agent_agent;205
collisions_agent_wall;160
mean_headway_m;0,9114
min_headway_m;0,3172
std_headway_m;0,5725
