metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run11
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;41,880
rset_95s;39,860
rset_90s;37,360
rset_50s;23,300
mean_speed_ms;0,2722
std_speed_ms;0,2892
max_speed_ms;2,1365
mean_exit_density_pm2;4,3324
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5835
specific_flow_mean_pms;1,7835
specific_flow_peak_pms;4,2460
throughput_ps;2,2206
throughput_ExitZone_ps;2,2206
collisions_agent_agent;18858
collisions_agent_wall;1802
mean_headway_m;0,3888
min_headway_m;0,3154
std_headway_m;0,0491
