metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run19
total_agents;68
evacuated_agents;61
evacuation_rate;0,8971
rset_100s;67,600
rset_95s;37,500
rset_90s;35,380
rset_50s;23,260
mean_speed_ms;0,5944
std_speed_ms;0,6236
max_speed_ms;2,1959
mean_exit_density_pm2;0,2044
peak_exit_density_pm2;0,9903
mean_global_density_pm2;0,0218
specific_flow_mean_pms;0,0573
specific_flow_peak_pms;0,7022
throughput_ps;1,0059
throughput_Exit_Main_ps;0,9024
collisions_agent_agent;7
collisions_agent_wall;68
mean_headway_m;3,2323
min_headway_m;0,3806
std_headway_m;4,5563
