metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run14
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;38,720
rset_95s;36,480
rset_90s;34,160
rset_50s;17,560
mean_speed_ms;0,3147
std_speed_ms;0,2761
max_speed_ms;1,8023
mean_exit_density_pm2;4,1059
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5493
specific_flow_mean_pms;1,9316
specific_flow_peak_pms;5,4673
throughput_ps;2,4019
throughput_ExitZone_ps;2,4019
collisions_agent_agent;13039
collisions_agent_wall;1105
mean_headway_m;0,3911
min_headway_m;0,3209
std_headway_m;0,0544
