metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run8
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;50,060
rset_95s;38,360
rset_90s;36,020
rset_50s;21,980
mean_speed_ms;1,2537
std_speed_ms;0,5333
max_speed_ms;3,1306
mean_exit_density_pm2;0,1307
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0445
specific_flow_mean_pms;0,2109
specific_flow_peak_pms;0,9193
throughput_ps;1,3584
throughput_Exit_Main_ps;1,3584
collisions_agent_agent;761
collisions_agent_wall;490
mean_headway_m;0,9490
min_headway_m;0,3122
std_headway_m;0,7894
