metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run2
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;184,000
rset_95s;165,380
rset_90s;154,560
rset_50s;89,680
mean_speed_ms;1,1269
std_speed_ms;0,3001
max_speed_ms;2,1315
mean_exit_density_pm2;0,1739
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0790
specific_flow_mean_pms;0,2128
specific_flow_peak_pms;0,6382
throughput_ps;3,2989
throughput_Exit_West_ps;1,5163
throughput_Exit_South_ps;1,7826
collisions_agent_agent;41
collisions_agent_wall;24
mean_headway_m;0,5684
min_headway_m;0,3450
std_headway_m;0,1228
