metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_02
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;61,060
rset_95s;47,340
rset_90s;37,660
rset_50s;16,300
mean_speed_ms;0,3714
std_speed_ms;0,3058
max_speed_ms;1,9513
mean_exit_density_pm2;3,5641
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,4486
specific_flow_mean_pms;1,6989
specific_flow_peak_pms;6,6828
throughput_ps;1,5231
throughput_ExitZone_ps;1,5231
collisions_agent_agent;527
collisions_agent_wall;2234
mean_headway_m;0,4631
min_headway_m;0,3078
std_headway_m;0,1014
