metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_21
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;49,540
rset_95s;39,420
rset_90s;35,740
rset_50s;16,340
mean_speed_ms;0,4079
std_speed_ms;0,3133
max_speed_ms;1,8997
mean_exit_density_pm2;4,1971
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5264
specific_flow_mean_pms;2,1281
specific_flow_peak_pms;6,9870
throughput_ps;1,8773
throughput_ExitZone_ps;1,8773
collisions_agent_agent;1035
collisions_agent_wall;2573
mean_headway_m;0,4180
min_headway_m;0,3100
std_headway_m;0,0814
