metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run10
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;182,080
rset_95s;163,800
rset_90s;154,360
rset_50s;91,460
mean_speed_ms;1,1111
std_speed_ms;0,3097
max_speed_ms;1,9952
mean_exit_density_pm2;0,1779
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0809
specific_flow_mean_pms;0,2164
specific_flow_peak_pms;0,5386
throughput_ps;3,3337
throughput_Exit_South_ps;1,8014
throughput_Exit_West_ps;1,5323
collisions_agent_agent;47
collisions_agent_wall;41
mean_headway_m;0,5724
min_headway_m;0,3455
std_headway_m;0,1316
