metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_21
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;183,04
rset_95s;163,84
rset_90s;154,36
rset_50s;90,88
mean_speed_ms;1,1025
std_speed_ms;0,3089
max_speed_ms;2,2273
mean_exit_density_pm2;0,1814
peak_exit_density_pm2;0,5173
mean_global_density_pm2;0,0808
specific_flow_mean_pms;0,2134
specific_flow_peak_pms;0,5969
throughput_ps;3,3162
throughput_Exit_West_ps;1,5243
throughput_Exit_South_ps;1,792
collisions_agent_agent;85
collisions_agent_wall;89
mean_headway_m;0,5583
min_headway_m;0,3285
std_headway_m;0,1272
