metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run2
total_agents;68
evacuated_agents;56
evacuation_rate;0,8235
rset_100s;54,320
rset_95s;41,380
rset_90s;38,040
rset_50s;23,060
mean_speed_ms;0,4055
std_speed_ms;0,5708
max_speed_ms;2,2195
mean_exit_density_pm2;0,0998
peak_exit_density_pm2;0,9903
mean_global_density_pm2;0,0286
specific_flow_mean_pms;0,0518
specific_flow_peak_pms;0,7173
throughput_ps;1,2518
throughput_Exit_Main_ps;1,0309
collisions_agent_agent;0
collisions_agent_wall;47
mean_headway_m;3,3040
min_headway_m;0,3680
std_headway_m;3,6634
