metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run15
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;39,280
rset_95s;33,740
rset_90s;29,900
rset_50s;18,800
mean_speed_ms;1,4195
std_speed_ms;0,3956
max_speed_ms;3,1029
mean_exit_density_pm2;0,1652
peak_exit_density_pm2;0,7074
mean_global_density_pm2;0,0499
specific_flow_mean_pms;0,2670
specific_flow_peak_pms;1,0662
throughput_ps;1,7312
throughput_Exit_Main_ps;1,7312
collisions_agent_agent;194
collisions_agent_wall;140
mean_headway_m;0,9501
min_headway_m;0,3398
std_headway_m;0,5770
