metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run10
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;40,720
rset_95s;37,240
rset_90s;34,540
rset_50s;20,060
mean_speed_ms;1,3620
std_speed_ms;0,4182
max_speed_ms;3,9038
mean_exit_density_pm2;0,1694
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0501
specific_flow_mean_pms;0,2549
specific_flow_peak_pms;1,0339
throughput_ps;1,6699
throughput_Exit_Main_ps;1,6699
collisions_agent_agent;175
collisions_agent_wall;177
mean_headway_m;0,9371
min_headway_m;0,3356
std_headway_m;0,5277
