metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_06
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;182,84
rset_95s;164,46
rset_90s;153,42
rset_50s;90,38
mean_speed_ms;1,1474
std_speed_ms;0,3206
max_speed_ms;2,3692
mean_exit_density_pm2;0,1721
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,0783
specific_flow_mean_pms;0,2165
specific_flow_peak_pms;0,5804
throughput_ps;3,3198
throughput_Exit_South_ps;1,7939
throughput_Exit_West_ps;1,5259
collisions_agent_agent;44
collisions_agent_wall;26
mean_headway_m;0,5741
min_headway_m;0,3566
std_headway_m;0,1322
