metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_15
total_agents;606
rset_100s;147,31
rset_95s;134,36
rset_90s;121,22
rset_50s;67,13
mean_speed_ms;0,901
std_speed_ms;0,469
max_speed_ms;2,5378
mean_exit_density_pm2;0,3164
peak_exit_density_pm2;0,7162
mean_global_density_pm2;0,7275
specific_flow_mean_pms;0,2758
specific_flow_peak_pms;0,7269
throughput_ps;4,1138
throughput_Exit_West_ps;2,0501
throughput_Exit_South_ps;2,0637
collisions_agent_agent;864
collisions_agent_wall;16203
mean_headway_m;0,6776
min_headway_m;0,3255
std_headway_m;0,2163
