metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_16
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;194,16
rset_95s;169,88
rset_90s;158,48
rset_50s;94,4
mean_speed_ms;1,0281
std_speed_ms;0,2995
max_speed_ms;2,1007
mean_exit_density_pm2;0,2393
peak_exit_density_pm2;0,557
mean_global_density_pm2;0,0736
specific_flow_mean_pms;0,1984
specific_flow_peak_pms;0,4801
throughput_ps;3,1263
throughput_Exit_West_ps;1,4782
throughput_Exit_South_ps;1,6481
collisions_agent_agent;58
collisions_agent_wall;853
mean_headway_m;0,6603
min_headway_m;0,3954
std_headway_m;0,1434
