metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run2
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;180,180
rset_95s;163,280
rset_90s;152,200
rset_50s;89,200
mean_speed_ms;1,1419
std_speed_ms;0,4097
max_speed_ms;2,5651
mean_exit_density_pm2;0,1391
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0607
specific_flow_mean_pms;0,1478
specific_flow_peak_pms;0,3981
throughput_ps;3,3689
throughput_Exit_West_ps;1,5596
throughput_Exit_South_ps;1,8093
collisions_agent_agent;1952
collisions_agent_wall;30
mean_headway_m;0,6099
min_headway_m;0,3234
std_headway_m;0,2178
