metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run6
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;183,800
rset_95s;163,740
rset_90s;153,900
rset_50s;90,700
mean_speed_ms;1,1119
std_speed_ms;0,3127
max_speed_ms;2,1500
mean_exit_density_pm2;0,1764
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0811
specific_flow_mean_pms;0,2169
specific_flow_peak_pms;0,6730
throughput_ps;3,3025
throughput_Exit_West_ps;1,5180
throughput_Exit_South_ps;1,7845
collisions_agent_agent;22
collisions_agent_wall;25
mean_headway_m;0,5703
min_headway_m;0,3393
std_headway_m;0,1323
