metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_09
total_agents;606
rset_100s;148,47
rset_95s;135,64
rset_90s;122,05
rset_50s;67,91
mean_speed_ms;0,9698
std_speed_ms;0,4647
max_speed_ms;2,0658
mean_exit_density_pm2;0,2609
peak_exit_density_pm2;0,8754
mean_global_density_pm2;0,6653
specific_flow_mean_pms;0,2887
specific_flow_peak_pms;1,1086
throughput_ps;4,0816
throughput_Exit_West_ps;1,9196
throughput_Exit_South_ps;2,1621
collisions_agent_agent;231
collisions_agent_wall;1362
mean_headway_m;0,6343
min_headway_m;0,3367
std_headway_m;0,2201
