metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run1
total_agents;68
evacuated_agents;56
evacuation_rate;0,8235
rset_100s;197,180
rset_95s;38,240
rset_90s;34,660
rset_50s;22,080
mean_speed_ms;0,3933
std_speed_ms;0,5886
max_speed_ms;1,9208
mean_exit_density_pm2;0,1986
peak_exit_density_pm2;0,9903
mean_global_density_pm2;0,0289
specific_flow_mean_pms;0,0522
specific_flow_peak_pms;0,7145
throughput_ps;0,3449
throughput_Exit_Main_ps;0,2840
collisions_agent_agent;0
collisions_agent_wall;42
mean_headway_m;2,5915
min_headway_m;0,3850
std_headway_m;2,3788
