metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run11
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;181,480
rset_95s;163,020
rset_90s;151,380
rset_50s;90,120
mean_speed_ms;1,0922
std_speed_ms;0,4246
max_speed_ms;2,3917
mean_exit_density_pm2;0,1354
peak_exit_density_pm2;0,3979
mean_global_density_pm2;0,0613
specific_flow_mean_pms;0,1387
specific_flow_peak_pms;0,4152
throughput_ps;3,3447
throughput_Exit_West_ps;1,5374
throughput_Exit_South_ps;1,8074
collisions_agent_agent;2539
collisions_agent_wall;101
mean_headway_m;0,6127
min_headway_m;0,3168
std_headway_m;0,2119
