metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run16
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;47,300
rset_95s;38,480
rset_90s;33,640
rset_50s;16,140
mean_speed_ms;0,4041
std_speed_ms;0,3132
max_speed_ms;2,1817
mean_exit_density_pm2;4,0098
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5237
specific_flow_mean_pms;2,1029
specific_flow_peak_pms;6,9669
throughput_ps;1,9662
throughput_ExitZone_ps;1,9662
collisions_agent_agent;2415
collisions_agent_wall;5314
mean_headway_m;0,4299
min_headway_m;0,3221
std_headway_m;0,0768
