metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_06
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;58,780
rset_95s;49,400
rset_90s;46,540
rset_50s;26,120
mean_speed_ms;0,4874
std_speed_ms;0,3361
max_speed_ms;2,0773
mean_exit_density_pm2;4,5549
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,6062
specific_flow_mean_pms;2,4179
specific_flow_peak_pms;8,5876
throughput_ps;1,5822
throughput_ExitZone_ps;1,5822
collisions_agent_agent;21153
collisions_agent_wall;19511
mean_headway_m;0,3913
min_headway_m;0,2797
std_headway_m;0,0758
