metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run14
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;181,000
rset_95s;164,900
rset_90s;154,720
rset_50s;89,920
mean_speed_ms;1,1176
std_speed_ms;0,3105
max_speed_ms;2,0945
mean_exit_density_pm2;0,1771
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,0794
specific_flow_mean_pms;0,2141
specific_flow_peak_pms;0,5846
throughput_ps;3,3536
throughput_Exit_West_ps;1,5414
throughput_Exit_South_ps;1,8122
collisions_agent_agent;29
collisions_agent_wall;45
mean_headway_m;0,5696
min_headway_m;0,3539
std_headway_m;0,1336
