metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run18
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;44,100
rset_95s;34,160
rset_90s;33,100
rset_50s;21,080
mean_speed_ms;1,3139
std_speed_ms;0,4132
max_speed_ms;2,8222
mean_exit_density_pm2;0,1695
peak_exit_density_pm2;0,7074
mean_global_density_pm2;0,0480
specific_flow_mean_pms;0,2420
specific_flow_peak_pms;0,7930
throughput_ps;1,5420
throughput_Exit_Main_ps;1,5420
collisions_agent_agent;232
collisions_agent_wall;293
mean_headway_m;0,9368
min_headway_m;0,3203
std_headway_m;0,6548
