distribution;n_SFM;n_RL;n_Ghost;SFM_mean;SFM_sd;RL_mean;RL_sd;SFMvsRL_KS_D;SFMvsRL_KS_p;SFMvsRL_W1
headway_dist;280681;107245;0;3,1725;3,5175;1,2475;2,1659;0,3504;0,0000;1,9617
agent_speed;645644;251765;0;0,4279;0,5796;1,3224;0,4778;0,5806;0,0000;0,8945
