metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_05
total_agents;606
rset_100s;152,74
rset_95s;134,21
rset_90s;123,02
rset_50s;64,66
mean_speed_ms;1,0273
std_speed_ms;0,4317
max_speed_ms;2,247
mean_exit_density_pm2;0,2185
peak_exit_density_pm2;0,5968
mean_global_density_pm2;0,5991
specific_flow_mean_pms;0,2697
specific_flow_peak_pms;0,7541
throughput_ps;3,9675
throughput_Exit_West_ps;1,8332
throughput_Exit_South_ps;2,1343
collisions_agent_agent;4918
collisions_agent_wall;10198
mean_headway_m;0,6187
min_headway_m;0,3116
std_headway_m;0,2425
