metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run6
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;35,440
rset_95s;33,220
rset_90s;31,420
rset_50s;17,460
mean_speed_ms;0,3191
std_speed_ms;0,2922
max_speed_ms;1,9507
mean_exit_density_pm2;4,2882
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5746
specific_flow_mean_pms;2,0812
specific_flow_peak_pms;5,1462
throughput_ps;2,6242
throughput_ExitZone_ps;2,6242
collisions_agent_agent;12219
collisions_agent_wall;926
mean_headway_m;0,3952
min_headway_m;0,3230
std_headway_m;0,0600
