metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run12
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;180,680
rset_95s;166,500
rset_90s;154,560
rset_50s;90,480
mean_speed_ms;1,1114
std_speed_ms;0,3150
max_speed_ms;2,1281
mean_exit_density_pm2;0,1821
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,0810
specific_flow_mean_pms;0,2159
specific_flow_peak_pms;0,5512
throughput_ps;3,3595
throughput_Exit_West_ps;1,5442
throughput_Exit_South_ps;1,8154
collisions_agent_agent;43
collisions_agent_wall;45
mean_headway_m;0,5703
min_headway_m;0,3587
std_headway_m;0,1374
