metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_18
total_agents;606
rset_100s;148,46
rset_95s;132,74
rset_90s;121,92
rset_50s;68,46
mean_speed_ms;0,8694
std_speed_ms;0,4611
max_speed_ms;2,1312
mean_exit_density_pm2;0,3427
peak_exit_density_pm2;0,8356
mean_global_density_pm2;0,7559
specific_flow_mean_pms;0,2663
specific_flow_peak_pms;0,6919
throughput_ps;4,0819
throughput_Exit_South_ps;2,1285
throughput_Exit_West_ps;1,9534
collisions_agent_agent;139
collisions_agent_wall;591
mean_headway_m;0,6229
min_headway_m;0,3401
std_headway_m;0,2044
