metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run13
total_agents;68
evacuated_agents;59
evacuation_rate;0,8676
rset_100s;46,680
rset_95s;41,480
rset_90s;37,180
rset_50s;22,340
mean_speed_ms;0,4916
std_speed_ms;0,6030
max_speed_ms;1,9608
mean_exit_density_pm2;0,0844
peak_exit_density_pm2;0,8488
mean_global_density_pm2;0,0241
specific_flow_mean_pms;0,0505
specific_flow_peak_pms;0,6599
throughput_ps;1,4567
throughput_Exit_Main_ps;1,2639
collisions_agent_agent;0
collisions_agent_wall;61
mean_headway_m;4,1075
min_headway_m;0,4002
std_headway_m;4,4464
