metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_10
total_agents;606
rset_100s;148,65
rset_95s;134,75
rset_90s;122,26
rset_50s;65,15
mean_speed_ms;1,0423
std_speed_ms;0,4413
max_speed_ms;2,3463
mean_exit_density_pm2;0,2242
peak_exit_density_pm2;0,7162
mean_global_density_pm2;0,6043
specific_flow_mean_pms;0,2832
specific_flow_peak_pms;0,8797
throughput_ps;4,0767
throughput_Exit_West_ps;1,8702
throughput_Exit_South_ps;2,2065
collisions_agent_agent;1233
collisions_agent_wall;1897
mean_headway_m;0,6451
min_headway_m;0,3292
std_headway_m;0,2477
