metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run13
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;40,100
rset_95s;37,720
rset_90s;35,120
rset_50s;19,740
mean_speed_ms;0,2923
std_speed_ms;0,2682
max_speed_ms;1,5903
mean_exit_density_pm2;4,2311
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5708
specific_flow_mean_pms;1,8419
specific_flow_peak_pms;4,7717
throughput_ps;2,3192
throughput_ExitZone_ps;2,3192
collisions_agent_agent;14953
collisions_agent_wall;1353
mean_headway_m;0,3907
min_headway_m;0,3195
std_headway_m;0,0547
