metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run9
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;35,740
rset_95s;33,140
rset_90s;30,860
rset_50s;16,960
mean_speed_ms;0,3463
std_speed_ms;0,2907
max_speed_ms;1,7444
mean_exit_density_pm2;4,2997
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5454
specific_flow_mean_pms;2,0823
specific_flow_peak_pms;5,2422
throughput_ps;2,6021
throughput_ExitZone_ps;2,6021
collisions_agent_agent;11164
collisions_agent_wall;807
mean_headway_m;0,3872
min_headway_m;0,3048
std_headway_m;0,0556
