metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run15
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;179,680
rset_95s;163,320
rset_90s;152,400
rset_50s;88,720
mean_speed_ms;1,1188
std_speed_ms;0,4190
max_speed_ms;2,3370
mean_exit_density_pm2;0,1379
peak_exit_density_pm2;0,3979
mean_global_density_pm2;0,0618
specific_flow_mean_pms;0,1499
specific_flow_peak_pms;0,4483
throughput_ps;3,3782
throughput_Exit_West_ps;1,5528
throughput_Exit_South_ps;1,8255
collisions_agent_agent;1755
collisions_agent_wall;30
mean_headway_m;0,6030
min_headway_m;0,3169
std_headway_m;0,2112
