metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run20
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;38,440
rset_95s;35,900
rset_90s;32,560
rset_50s;18,080
mean_speed_ms;0,3330
std_speed_ms;0,3012
max_speed_ms;2,0184
mean_exit_density_pm2;3,8751
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5282
specific_flow_mean_pms;1,9273
specific_flow_peak_pms;4,5150
throughput_ps;2,4194
throughput_ExitZone_ps;2,4194
collisions_agent_agent;12675
collisions_agent_wall;1222
mean_headway_m;0,4020
min_headway_m;0,3160
std_headway_m;0,0807
