metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run17
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;180,400
rset_95s;164,700
rset_90s;154,720
rset_50s;92,080
mean_speed_ms;1,1061
std_speed_ms;0,3246
max_speed_ms;2,2209
mean_exit_density_pm2;0,1839
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0810
specific_flow_mean_pms;0,2166
specific_flow_peak_pms;0,5519
throughput_ps;3,3647
throughput_Exit_West_ps;1,5466
throughput_Exit_South_ps;1,8182
collisions_agent_agent;25
collisions_agent_wall;36
mean_headway_m;0,5656
min_headway_m;0,3596
std_headway_m;0,1282
